step,block_size,lr,train_loss,train_ema,gn
462,128,1.997926e-03,1.8190,1.8668,0.204
463,128,1.997900e-03,1.7919,1.8630,0.271
464,128,1.997874e-03,1.8235,1.8611,0.213
465,128,1.997848e-03,1.8004,1.8580,0.229
466,128,1.997822e-03,1.7999,1.8551,0.167
467,128,1.997796e-03,1.7924,1.8520,0.188
468,128,1.997769e-03,1.7908,1.8489,0.181
469,128,1.997743e-03,1.7732,1.8451,0.193
470,128,1.997716e-03,1.8007,1.8429,0.145
471,128,1.997689e-03,1.8071,1.8411,0.136
472,128,1.997662e-03,1.9065,1.8444,0.757
473,128,1.997634e-03,1.8181,1.8431,0.160
474,128,1.997607e-03,1.7665,1.8393,0.203
475,128,1.997580e-03,1.7759,1.8361,0.200
476,128,1.997552e-03,1.7937,1.8340,0.179
477,128,1.997524e-03,1.7851,1.8315,0.214
478,128,1.997496e-03,1.7877,1.8293,0.239
479,128,1.997468e-03,1.7878,1.8273,0.232
480,128,1.997439e-03,1.7946,1.8256,0.256
481,128,1.997411e-03,1.7831,1.8235,0.234
482,128,1.997382e-03,1.8016,1.8224,0.211
483,128,1.997353e-03,1.7522,1.8189,0.141
484,128,1.997324e-03,1.7574,1.8158,0.118
485,128,1.997295e-03,1.7691,1.8135,0.139
486,128,1.997266e-03,1.7348,1.8095,0.136
487,128,1.997236e-03,1.7522,1.8067,0.126
488,128,1.997207e-03,1.7671,1.8047,0.069
489,128,1.997177e-03,1.7633,1.8026,0.087
490,128,1.997147e-03,1.8084,1.8029,0.632
491,128,1.997117e-03,1.7633,1.8009,0.092
492,128,1.997087e-03,1.7489,1.7983,0.156
493,128,1.997056e-03,1.7285,1.7948,0.172
494,128,1.997026e-03,1.7275,1.7915,0.187
495,128,1.996995e-03,1.7183,1.7878,0.186
496,128,1.996964e-03,1.7456,1.7857,0.201
497,128,1.996933e-03,1.7221,1.7825,0.216
498,128,1.996902e-03,1.7244,1.7796,0.181
499,128,1.996870e-03,1.7099,1.7761,0.243
500,128,1.996839e-03,1.7124,1.7729,0.186
501,128,1.996807e-03,1.7333,1.7710,0.177
502,128,1.996775e-03,1.7167,1.7683,0.178
503,128,1.996743e-03,1.7420,1.7669,0.152
504,128,1.996711e-03,1.7442,1.7658,0.206
505,128,1.996679e-03,1.7763,1.7663,0.548
506,128,1.996647e-03,1.7493,1.7655,0.142
507,128,1.996614e-03,1.7160,1.7630,0.185
508,128,1.996581e-03,1.7121,1.7605,0.128
509,128,1.996548e-03,1.7157,1.7582,0.184
510,128,1.996515e-03,1.7164,1.7561,0.171
511,128,1.996482e-03,1.7128,1.7540,0.210
